Year,Code,Area,Cancer Type,Age-Adjusted Rate,Case Count,Population,per_100k
2006,NM,New Mexico,Cervix,7.7,77,993969,7.75
2006,NY,New York,Cervix,8.5,904,9871401,9.16
2006,NC,North Carolina,Cervix,8.2,392,4563152,8.59
2006,ND,North Dakota,Cervix,Data Suppressed,Data Suppressed,322583,
2006,OH,Ohio,Cervix,8.5,508,5883067,8.63
2006,OK,Oklahoma,Cervix,10.5,192,1818693,10.56
2006,OR,Oregon,Cervix,6.6,124,1853117,6.69
2006,PA,Pennsylvania,Cervix,7.9,544,6429312,8.46
2006,PR,Puerto Rico,Cervix,10.3,206,1979256,10.41
2006,RI,Rhode Island,Cervix,7.2,41,550134,7.45
2006,SC,South Carolina,Cervix,8.7,201,2237655,8.98
2006,SD,South Dakota,Cervix,5,20,392420,5.10
2006,TN,Tennessee,Cervix,8.9,286,3121455,9.16
2006,TX,Texas,Cervix,9.2,1050,11771243,8.92
2006,United States,United States,Cervix,8.2,12718,151732647,8.38
2006,UT,Utah,Cervix,5.7,61,1257991,4.85
2006,VT,Vermont,Cervix,5.5,17,316290,5.37
2006,VA,Virginia,Cervix,7,284,3908475,7.27
2006,WA,Washington,Cervix,7.6,247,3200695,7.72
2006,WV,West Virginia,Cervix,8.7,83,930605,8.92
2006,WI,Wisconsin,Cervix,5.5,159,2812276,5.65
2006,WY,Wyoming,Cervix,10.4,26,257361,10.10
2007,AL,Alabama,Cervix,9.7,237,2407275,9.85
2007,AK,Alaska,Cervix,6.9,21,327138,6.42
2007,AZ,Arizona,Cervix,8,245,3096998,7.91
2007,ArKS,Arkansas,Cervix,10,147,1451358,10.13
2007,CA,California,Cervix,8.3,1521,18214926,8.35
2007,CO,Colorado,Cervix,7,171,2396433,7.14
2007,CT,Connecticut,Cervix,6.9,133,1811617,7.34
2007,DE,Delaware,Cervix,8.6,42,449398,9.35
2007,DC,District of Columbia,Cervix,11.7,37,302949,12.21
2007,FL,Florida,Cervix,9.2,935,9378587,9.97
2007,GA,Georgia,Cervix,8.7,414,4777572,8.67
2007,HI,Hawaii,Cervix,6.6,45,657185,6.85
2007,ID,Idaho,Cervix,4.7,35,750127,4.67
2007,IL,Illinois,Cervix,8.6,570,6467577,8.81
2007,IN,Indiana,Cervix,7.6,249,3241454,7.68
2007,IA,Iowa,Cervix,6.1,93,1518023,6.13
2007,KS,Kansas,Cervix,6.8,94,1405705,6.69
2007,KY,Kentucky,Cervix,9.1,203,2164210,9.38
2007,LA,Louisiana,Cervix,9.3,208,2239125,9.29
2007,ME,Maine,Cervix,7.6,56,677797,8.26
2007,MD,Maryland,Cervix,6.6,200,2920109,6.85
2007,MA,Massachusetts,Cervix,5.4,192,3321653,5.78
2007,MI,Michigan,Cervix,8.3,421,5091035,8.27
2007,MN,Minnesota,Cervix,5.6,151,2622551,5.76
2007,MS,Mississippi,Cervix,9,139,1507071,9.22
2007,MO,Missouri,Cervix,8.5,262,3007493,8.71
2007,MT,Montana,Cervix,5.7,29,480939,6.03
2007,NE,Nebraska,Cervix,8.1,69,900106,7.67
2007,NV,Nevada,Cervix,7.1,93,1284052,7.24
2007,NH,New Hampshire,Cervix,5.1,35,664987,5.26
2007,NJ,New Jersey,Cervix,9.3,446,4455148,10.01
2007,NM,New Mexico,Cervix,6.6,66,1007922,6.55
